date,commodities_export,commodities_import,mc_debt_securities,mc_m2,mc_m3,mc_eu_m3,manuf_capacity_utilisation,ie_gov_bond_10y,cpi_core,ip_index,stock_cac40,stock_sp500,mc_cons_credit,mc_housing_loans,mc_nfc_capital_credit,mc_nfc_realestate_credit,ie_euribor_1m,ie_euribor_1y,ie_euribor_3m,ie_euribor_6m,ppi_energy,ppi_industry,ppi_intermediate_goods,cpi_all_x_energy,cpi_clothing_footwear,cpi_durables,cpi_health,cpi_nondurables,cpi_rentals_for_housing,cpi_services,cpi_transport,labor_anciennete_moyenne,labor_de_1_a_2_ans,labor_de_2_a_3_ans,labor_de_6_a_12_mois,labor_moins_d_un_an,labor_moins_de_3_mois,building_permit_buildings,building_permit_residental,cpi_total,ie_broad_eff_exr_eu,ie_candollar,ie_franc,ie_mro_monthly,ie_pound,ie_usdollar,ie_yen,indic_business_climate,indic_business_climate_construction,indic_business_climate_manuf,indic_business_climate_services,indic_composite_business_confidence,indic_composite_consumer_confidence,indic_composite_leading_indicator,indic_employment_climate,indic_policy_uncertainty,indic_turnaround,labor_3_ans_ou_plus,labor_de_3_a_6_mois,labor_labor_force,labor_registered_unemp,labor_unemp_flux,labor_unemp_rate,mc_real_m2_proxy,mc_m1,mc_total_reserves,passenger_car_regis,ppi_consumer_goods,ppi_crude_oil_brent_eu,ppi_international_raw_prices,ppi_manuf,prod_capital_goods,prod_cons_goods,prod_cons_goods_x_fbt,prod_construction,prod_durable_cons_goods,prod_elec_etc,prod_energy_x_e,prod_foodbev_services,prod_intermediate_goods,prod_manuf,prod_nondurable_cons_goods,prod_retail,stock_ewq,stock_vstx50_monthly
1999-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.1,106.1,102,98.7,99.91208,101.2711,99.84258,102,NA,-0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1595
1999-02,0.010108380647110948,0.015870963393833648,NA,4.941566649563356e-5,0.005651904189843293,NA,-0.10999999999999943,0.1549999999999998,0.004393847798811912,7.662652713351648e-4,-0.038049273629932046,-0.031571927095944474,NA,NA,NA,2502,-0.03190000000000026,-0.03200000000000003,-0.03869999999999996,-0.05149999999999988,0.005850220418393892,1.827946256698354e-4,-0.002481370349241452,0.001451998226627893,0.02811795874889178,0.0010097639550243898,0.002213644512406354,6.379184721279074e-4,NA,0.0013707348212754766,0.0015391686551220474,0.9151511843710409,-8.226097723973425e-4,-0.0012379917965965603,0.004182057271549411,0.00309993007190279,-0.004958594938036853,-0.024334424033420454,-0.04475058456379255,0.0016599122600977623,-0.014765134831798754,-6.94169678830272,6.893198435549159,0,-0.02069901846396799,-0.032678561737026615,-0.004348993998418926,102.4,105.6,102.3,99.6,99.87344,101.2277,99.80118,104.1,-0.4981116640623937,-0.03,0.010070301651802893,0.0036215000847565904,0.009302392662313697,-1.9951168449594547e-4,7087.198347436963,0,-0.01744072592976842,-0.005703108792390665,-0.005373873703891974,-0.02625635764490397,-0.0016451833960378082,-0.06937087186945279,0.02192536062896533,1.356391158138237e-4,0.00535640938503068,0.00932947272485496,NA,-0.09189446975009297,-0.006975833782747465,0.06801652461437069,0.0843464684318116,0.0029097738307868326,-0.031076951119507257,-0.006468364561219353,0.011995948549423652,0.010719491284897131,-0.08004270767353638,30.112000000000005
1999-03,0.02287197340905678,0.002953311016135274,0.045273785495838936,6.553921575420674e-4,0.004030467891466216,0.006016835049086566,0.21000000000000796,0.1990000000000003,1.0146655165144125e-4,-0.010367126957742556,0.025420570211942106,0.03922888105224587,-0.0022523269696979042,-0.0025010133310772176,-0.022572077705040883,-1984,-0.07160000000000011,0.016499999999999737,-0.046699999999999964,3021.96,0.012366403654796798,0.001993986418198368,-9.601571473485393e-4,0.001424534854193027,-0.0188750215568545,-0.002828387928071052,0.0012753499775035593,-2.1530245021317285e-4,6.121588747900475e-4,0.0015786372314536834,7.856699574544379e-4,0.781328488445979,-0.0038916800678681085,-0.0011368708703436425,0.01609453206959799,0.007158035455034906,-0.0021949595859549476,0.0664792853628624,0.05096826427058687,3.432600253736595e-4,-0.014154517987391202,-0.028760152175262732,-6.9020447429277905,0,-0.02535840185398791,-0.025369007567257046,-0.004444792358661687,100.4,107.2,97,100.5,99.79181,101.1113,99.83717,105.9,-0.10424797050095913,0.6,0.008513113397897953,-0.008545231514748508,-0.009302392662313697,8.641464456786707e-4,-11199.739268182951,-0.1999999999999993,-1.565797511808853e-4,0.004051024527470304,0.11399736637066482,-3.028642900524403e-4,-0.003981363048650266,0.3504172199058351,0.021454935001259834,0.001209045929914332,-0.055668753114545666,-0.008017038781144237,-0.014060080720392776,0.06242966331616984,0.025016419972898163,-0.030374255871508993,-0.05273456352977668,0.021484133252214654,0.02747151246035351,-0.006993010011502321,-0.014824798595112654,-0.0011073468636313422,0.011428695823622714,28.216956521739128
1999-04,-0.003602963859606234,0.01299790748850782,-0.07734501677719585,0.003198253206731394,0.004370018526744346,0.004086303330463892,0.11999999999999034,-0.1474000000000002,8.86923841195042e-4,0.010421617969048391,0.04904631991352382,0.03799447466013639,-0.00509588111433068,0.007818557841986262,-0.0066016499187337985,-909,-0.36009999999999964,-0.28980000000000006,-0.35020000000000007,-3022.2957,0.0258464009217807,0.002609071197380075,-0.0011178634095472262,1.741610357033352e-4,-0.0011027575275246448,-0.0019413051493586408,-6.920736742070943e-4,-2.0032082353349523e-4,9.762996686957237e-4,0.0017757542472187637,0.002903681407737224,0.9269603716689971,-0.006342254136912473,0.0029321497974539312,0.005950785907351985,-0.0018266147414003342,0.00964211048817809,0.00865424044369334,-0.024552131735634752,0.0012941652702762596,-0.012792331777490062,-0.04362494446994852,0.00822588298846011,-0.36666666666666625,-0.009354325145919606,-0.013590349290568612,-0.0157922464544189,103.2,109.4,98.3,101.4,99.87306,101.0338,99.97974,107.7,0.07722515237550143,0.8,0.005678639808573749,-0.019394879646046803,0.009302392662313697,-0.0037509363311389876,9872.067836980976,-0.10000000000000142,-0.005204889644836896,-0.021753752694479545,-0.021569676909464874,-0.008454259885860793,-0.0020814782536220378,0.09094283087539257,0.032485455144488196,7.98801983483699e-4,0.0846601445779065,-0.013007625392154054,-0.005508329093797393,0.018084484547645552,0.007264119694141868,0.004902672834168342,0.005393111375394,0.022914060540890624,0.0010191238112744472,0.025262018983993606,-0.023166728034991202,-0.0017960158179928243,0.026630866000722175,26.6715
1999-05,-0.0061232101789450155,0.005055292042175807,-0.004641546533724394,2.978257065660017e-4,0.0029140000127902965,-0.004046219084239411,-0.1599999999999966,0.17929999999999957,3.0060447002711044e-5,0.0102887256307449,-0.007125880005368401,-0.023896943153658867,0.008076713642209299,-6.743866467555648e-4,0.0173912436590129,1730,-0.12860000000000005,-0.07369999999999965,-0.11750000000000016,-0.10670000000000046,-0.004728441881071355,-6.042323571886499e-4,6.648736450198811e-5,1.3765527830233992e-4,0.001394943542068816,-0.004572599742496131,-1.5350800247748708e-4,0.00418602418874503,-1.9448411493794282e-4,0.0011988744621493908,-0.0014065106996339338,0.2803709370040224,-0.009669795807216275,-0.0039802083500770635,0.007363342312888932,-0.0015860666290823389,-0.006010236120033596,0.02509791015171814,0.08520628195704916,-8.502885469212629e-4,-0.0061553510380019105,-0.006983539536247141,-0.01060653816620366,-0.13333333333333375,-0.010232317015155812,-0.013394965870778132,0.012021706032531831,105.2,111.5,100.9,102.9,100.0877,101.0843,100.2167,108,-0.543343804706053,1,0.007538842078307795,-0.007034396616013794,-0.009302392662313697,-0.006021214335380165,3097.201424895029,-0.1999999999999993,4.936538863624662e-4,0.02187720766476353,0.01921724868175545,-0.0046945927081250005,-0.001413968534435206,-0.10908239442555212,0.02257432203853904,8.477546221898891e-4,0.018241757010589943,0.02671744383147523,0.03906708450939966,-0.011537251489505351,0.039768513838097874,-0.02603615608155163,-0.014165751147253047,0.03310639232346091,0.023500493634958985,0.02132678105765784,0.036003148466583035,0.004201559725427906,-0.014395419241883811,22.476842105263156
1999-06,0.030971328694608502,0.01883947453984902,0.00813187712833141,-1.9738196055030244e-4,0.01103602200723941,0.0032714337406662963,0.4099999999999966,0.3207000000000013,4.54212549062305e-4,0.00373816201536048,0.05191577790299817,0.054012075232497736,-0.0035114397319784274,0.004532956167887292,0.03696096004671823,3084,0.0394000000000001,0.15359999999999951,0.0477000000000003,0.08250000000000046,0.00483839736181757,0.0015883811308929907,6.110081209440565e-4,3.137959976129423e-4,-2.895855451967577e-4,0.0026644687996517646,0.0010334683054464833,-0.002018653599423992,-9.041530139493048e-4,9.734825825358229e-5,0.0011949134434949826,1.242609356535013,-0.008237668690112443,-0.0051230906807191445,1.0776871709339275e-4,0.005691216564796875,0.001048674554633422,0.004453270052224845,0.03979309242546414,-3.823815121251073e-5,-0.01882005932677,-0.009715461285799032,0.005691606195531551,0,-0.012227894047657895,-0.012317322777579583,-0.03443072326859031,104.5,110,99.7,104.4,100498,101.2782,100.5349,108.3,0.2413254556827833,1,0.003932765589691911,-0.0010032781270563618,-0.00938974034983886,-0.0020092793262005415,8299.079880568956,-0.09999999999999964,0.01016463371034071,0.004030641464325413,0.04476815591022287,-0.061889875675200656,0.001957573939931123,0.1402039964603059,0.024256977645559896,-1.2372254795867121e-4,-0.0019033389013225488,0.014368650352238888,0.021997050510371707,0.017138578539781513,-0.010850013791597668,0.035141949364542846,0.019295811425794618,-0.00479033885926583,0.002677409005877429,8.009226404936953e-4,0.019758607767793812,-0.0026066504143349434,0.05105940361347505,20.782727272727257
1999-07,0.07028122514353186,0.026301231284090676,-0.00834999536164105,0.0030214555837915213,-0.005048234055472278,-6.750073839469906e-4,0.18000000000000682,0.3326999999999982,-0.0010302498382763758,0.01177200145357471,-0.03147172794546549,-0.03172259014951706,-0.002593984593621812,-0.0025002648817764594,-0.038239549727101974,-3168,0.028999999999999915,0.1937000000000002,0.049799999999999844,0.2173999999999996,0.026856097241362065,0.0048124944321896734,0.003618271208733148,-0.0010824921474599236,0.003092551215790884,-0.0019209133058799566,6.400896192815253e-4,-2.519533561811116e-4,-5.87605710737904e-4,-4.99519563041062e-4,0.004614513088096572,1.7635153987379795,-0.01624505051426084,-0.020845957862777098,-0.01220205298434962,-0.018732513134338546,-0.014870499196316445,-0.010169163342649057,-0.10985486690881707,4.7916579516460445e-4,-6.170173577624283e-4,0.05339107939271592,-0.0036238715072458016,0,0.011528827121526197,0.034824182982198415,-0.012930349209250735,107.6,112.1,106.2,105.9,101.1291,101.5574,100.90720000000002,108.9,-0.5165459792213634,1,-0.004548204279613444,0.003719792851157422,-0.009478743954543845,-0.029752819883610115,-22904.736034224974,-0.09999999999999964,0.01667615866510097,0.021887139341298933,0.017064566965487415,0.18451105065785356,0.003691094298507558,0.16278406818158908,0.010834342165709998,0.002244547979941558,0.0020708871664156803,-0.02665447547508748,-0.08780755353948155,0.01523389088438698,-0.02784917639663309,0.007970322753446446,0.01250772567401448,0.0210991163830494,-0.012141773084463736,-0.010795429560973346,-0.030157948036945825,0.005928602050031984,-0.0053476063265951446,24.760454545454547
1999-08,-0.05816109435368588,-0.01894271563557126,0.03223685874735871,0.004342511509413782,0.007961954104839464,-0.0050223708128509514,0.12999999999999545,0.19640000000000057,4.4570753184647316e-4,-0.0022905857169792654,0.04618836388377545,-0.004959530390747702,0.0049952912963480145,0.001748316509239345,0.010379887881219574,1036,-0.020999999999999908,0.20730000000000048,2692.3235,0.15580000000000016,0.007200599128968754,0.002536709277043414,0.0019873023150802638,3.80115371559242e-4,0.003267766666690264,-0.0028998130694555257,0.0045427388930106005,3.3696476153721733e-4,7.125761869914982e-4,0.0011134653163846764,0.0072089511979962495,0.37279771154101127,-0.009079062214370381,-0.01936311178797112,-0.009334212212900539,-0.0036232202936119506,0.007980748631903012,0.02664026933447694,0.14377029522304152,0.0017036314322416146,0.014582698219734347,-0.021726334936325475,0.001313608545944589,0,0.0035662022877819277,-0.01137925477615035,-0.029615387788802572,111.3,112.7,109.4,108.7,101.7791,101.8038,101.2705,111,-0.05432831972045049,1,-0.0026090646955623242,-0.018713707511558653,-0.009569451016150587,-0.006299324311036969,11758.078637315019,-0.20000000000000107,-0.014758022978947238,-0.004937520033468701,0.009233587962544476,0.028934924857500377,0.003913091870180629,0.054093576245437536,0,0.0010037771520643446,-0.00971448116652951,0.01334004419021717,-0.003269926173098625,-0.005481651802886844,0.03927566229487134,-0.007364958627730012,-0.0030690963086064116,-0.014727024385286391,0.01700226579731101,0.005457882697945671,0.011844701965383564,-0.008430918130748033,0.024714408817445133,25.187727272727265
1999-09,0.027796727249789654,0.03263479280823134,-9.598544744218174e-4,-0.013755286506487607,0.0110574216261341,0.0036206552966984162,0.35999999999999943,0.1786999999999992,3.0294792271057247e-4,0.008137650361679682,4.8622866014191857e-4,-0.02779676131266129,-0.005901017186600299,-0.001495406088599438,5.4527764726231e-4,721,-0.029999999999999805,0.06379999999999963,-2692.2733,0.05380000000000029,0.004262118180495378,0.0012138249902617915,0.0034533814038200106,8.364848488229271e-4,-0.0077075376784527805,7.776463171946801e-4,0.009512092463626942,-0.0030925480803967176,6.470617273750534e-4,4.605889288438192e-4,4.893051727066222e-4,1.068251610861978,-0.009245619073880107,-0.002448152333229814,-0.00880951549423692,-0.008808129305377221,-0.008824924166074055,0.04870510826003294,0.0014928254723747258,3.3432974612335187e-4,-0.011009285508369437,-0.006432118975665868,-0.0018771123018943014,0,-0.020368424921498374,0.008663770172924516,-0.0663497635557615,115.1,113.2,112.4,111.5,102.2913,101.9997,101.5883,113.2,0.05382915559730517,1,-8.242704607042128e-4,8.235361131809782e-4,-0.019418085857101808,-0.013865829642766059,-2168.2494656510535,-0.09999999999999964,-0.01404838560017474,-0.012090327106601961,-0.007778159905340587,-0.06163658241860226,-7.975789484495621e-4,0.08629954874744827,0.023430251808385982,0.0016100118488315829,0.011594732521811757,0.007552576650026843,0.10905051953755507,0.005803110774891707,0.0014188544888380505,0.006705502884368109,-0.005316788547128581,0.030292856743845853,0.004440285819980794,0.009265352032834073,0.008324394368287358,0.006903184826552611,0.00521740313968877,24.59227272727273
1999-10,0.03207115427529672,0.027744125784181506,0.042313403039086595,-2.507538399623144e-4,-5.601069032206141e-4,-2.1737799139209812e-4,-0.060000000000002274,5431.8029,-5.388390913054764e-4,0.011604299307585997,0.06272087842164886,0.06135911583968934,-0.00256875286398639,-0.0014709425861738623,-0.012600217647481315,-2012,0.17939999999999978,0.38260000000000005,0.6489999999999996,0.34999999999999964,0.011965543124935252,0.0026027459717905543,0.0051613805913763855,5.967661630945642e-4,0.00121185211228525,-0.0016320322291498712,-0.00734120641841951,0.0029650452005087757,-0.0027022534911136376,-5.650412696533991e-4,0.005660619738415029,-0.3131258784749775,-0.008796623141224202,-0.012804480775988836,-0.00830314706414903,-0.00904443298773927,0.013179602629962872,0.015392092907893229,9.371284284958037e-4,0.001715496817825013,0.012832440069884044,-0.014998189158950515,6.911693153246034,0,-0.0014852636752233361,-0.020078333372743902,0.010004067321610854,117.5,113.9,113.8,114.2,102.5677,102.1101,101.8551,115.3,0.01264228021109659,1,0.004952607238628559,-0.01923248257783783,-0.009852296443011443,-0.007763451525372389,965.9273715210147,-0.1999999999999993,0.0015056731744511609,0.023160469309264187,-0.01855954435943019,0.008397151236486877,-0.0018886175205645728,-0.08487741056038045,-0.006335818449085817,0.001384777855229835,0.006603347535783399,0.005141660568662942,-0.04602408735781882,5.765217105029308e-4,-0.03162174500735748,0.001418837686211205,0.006101284445182209,0.006430163904803443,0.008275478172178552,0.006224586089962791,0.007980884397420951,0.05451492375450062,0.04494185701807174,26.852380952380948
